No,Tube_No,Species_one,Species_two,Block,Location,Treatment,Planting_date,Surv_final,sp1_Abovgd_mass,Community_root_mass,sp1_Total_Mass,Comm_RMF,No_of_Plants,"Control, Intra, Inter",Species_two,sp2_Abovgd_mass,sp2_Total_Mass
113,361,Sporobolus airoides,sp1,four,G01,Monoculture,7/27/2016,1,0.0106,0.0393,0.0499,0.78757515,2,Intra,Sporobolus airoides,0.0442,0.0835
487,279,Linum perenne,sp1,three,G19,Forb_comp,8/31/2016,1,0.0037,0.0471,0.0508,0.927165354,2,Inter,Helianthus annuus,0.0519,0.099
462,8,Linum perenne,sp1,one,A08,Forb_comp,8/31/2016,1,0.0042,0.0472,0.0514,0.918287938,2,Inter,Helianthus annuus,0.0731,0.1203
337,569,Pascopyrum smithii,none,six,G09,Control,8/10/2016,1,0.0332,0.0187,0.0519,0.360308285,1,Con,None,,
21,41,Sporobolus airoides,sp1,one,E01,Monoculture,7/27/2016,1,0.0282,0.0248,0.053,0.467924528,2,Intra,Sporobolus airoides,0.0547,0.0795
448,203,Helianthus annuus,sp1,three,A03,Monoculture,8/25/2016,1,0.0288,0.0275,0.0563,0.488454707,2,Intra,Helianthus annuus,0.0558,0.0833
435,58,Helianthus annuus,sp1,one,E18,Monoculture,8/25/2016,1,0.0241,0.0326,0.0567,0.574955908,2,Intra,Helianthus annuus,0.0692,0.1018
394,283,Achillea millefolium,sp1,three,I03,Grass_comp,8/11/2016,1,0.0021,0.0572,0.0593,0.964586847,2,Inter,Pascopyrum smithii,0.0867,0.1439
84,254,Linum perenne,none,three,E14,Control,7/27/2016,1,0.0268,0.0339,0.0607,0.558484349,1,Con,None,,
392,266,Pascopyrum smithii,sp1,three,G06,Grass_comp,8/11/2016,1,0.0001,0.0631,0.0632,0.998417722,2,Inter,Poa secunda,0.089,0.1521
360,89,Achillea millefolium,sp1,one,I09,Grass_comp,8/11/2016,1,0.0091,0.0542,0.0633,0.856240126,2,Inter,Pascopyrum smithii,0.0636,0.1178
446,189,Helianthus annuus,sp1,two,I09,Monoculture,8/25/2016,1,0.032,0.0323,0.0643,0.502332815,2,Intra,Helianthus annuus,0.0626,0.0949
148,506,Linum perenne,sp1,six,A06,Monoculture,7/27/2016,1,0.0041,0.0615,0.0656,0.9375,2,Intra,Linum perenne,0.0069,0.0684
356,83,Achillea millefolium,sp1,one,I03,Grass_comp,8/11/2016,1,0.0138,0.0521,0.0659,0.790591806,2,Inter,Pascopyrum smithii,0.0774,0.1295
450,234,Helianthus annuus,none,three,C14,Monoculture,8/25/2016,1,0.0278,0.0386,0.0664,0.581325301,1,Con,None,,
366,114,Linum perenne,sp1,two,A14,Grass_comp,8/11/2016,0,0.0261,0.0409,0.067,0.610447761,2,Inter,Pascopyrum smithii,0,0
154,535,Sporobolus airoides,sp1,six,C15,Monoculture,7/27/2016,1,0.0126,0.0545,0.0671,0.812220566,2,Intra,Sporobolus airoides,0.0656,0.1201
412,366,Linum perenne,sp1,four,G06,Grass_comp,8/11/2016,1,0.0082,0.059,0.0672,0.87797619,2,Inter,Pascopyrum smithii,0.0805,0.1395
278,204,Pascopyrum smithii,sp1,three,A04,Monoculture,8/10/2016,1,0.0378,0.0317,0.0695,0.456115108,2,Intra,Pascopyrum smithii,0.0526,0.0843
458,369,Helianthus annuus,sp1,four,G09,Monoculture,8/25/2016,1,0.0401,0.0318,0.0719,0.442280946,2,Intra,Helianthus annuus,0.0449,0.0767
444,159,Helianthus annuus,sp1,two,E19,Monoculture,8/25/2016,1,0.0435,0.0289,0.0724,0.399171271,2,Intra,Helianthus annuus,,
378,160,Elymus trachycaulus,sp1,two,E20,Grass_comp,8/11/2016,1,0.0446,0.0289,0.0735,0.393197279,2,Inter,Pascopyrum smithii,,
422,588,Linum perenne,sp1,six,I08,Grass_comp,8/11/2016,1,0.006,0.0679,0.0739,0.918809202,2,Inter,Pascopyrum smithii,0.0564,0.1243
390,258,Linum perenne,sp1,three,E18,Grass_comp,8/11/2016,1,0.0118,0.0626,0.0744,0.841397849,2,Inter,Pascopyrum smithii,0.0452,0.1078
144,458,Achillea millefolium,sp1,five,E18,Monoculture,7/27/2016,1,0.022,0.0528,0.0748,0.705882353,2,Intra,Achillea millefolium,0.024,0.0768
42,122,Achillea millefolium,none,two,C02,Control,7/27/2016,1,0.041,0.0348,0.0758,0.459102902,1,Con,None,,
416,409,Linum perenne,sp1,five,A09,Grass_comp,8/11/2016,1,0.0236,0.0523,0.0759,0.689064559,2,Inter,Pascopyrum smithii,0.0295,0.0818
428,12,Helianthus annuus,sp1,one,A12,Monoculture,8/25/2016,1,0.0488,0.0283,0.0771,0.367055772,2,Intra,Helianthus annuus,0.0632,0.0915
441,127,Helianthus annuus,none,two,C07,Control,8/25/2016,1,0.0471,0.0304,0.0775,0.392258065,1,Con,None,,
442,141,Helianthus annuus,none,two,E01,Control,8/25/2016,1,0.0467,0.031,0.0777,0.398970399,1,Con,None,,
97,275,Linum perenne,sp1,three,G15,Monoculture,7/27/2016,1,0.0182,0.0608,0.079,0.769620253,2,Intra,Linum perenne,0.0205,0.0813
2,5,Linum perenne,sp1,one,A05,Monoculture,7/27/2016,1,0.0088,0.0706,0.0794,0.889168766,2,Intra,Linum perenne,0.0153,0.0625
39,111,Linum perenne,sp1,two,A11,Monoculture,7/27/2016,1,0.0139,0.0655,0.0794,0.824937028,2,Intra,Linum perenne,0.0144,0.0799
87,263,Sporobolus airoides,sp1,three,G03,Monoculture,7/27/2016,1,0.019,0.061,0.08,0.7625,2,Intra,Sporobolus airoides,0.0535,0.1145
414,378,Linum perenne,sp1,four,G18,Grass_comp,8/11/2016,1,0.0129,0.0677,0.0806,0.839950372,2,Inter,Pascopyrum smithii,0.0443,0.112
439,110,Helianthus annuus,sp1,two,A10,Monoculture,8/25/2016,1,0.042,0.0437,0.0857,0.50991832,2,Intra,Helianthus annuus,0.0469,0.0906
450,234,Helianthus annuus,none,three,C14,Monoculture,8/25/2016,1,0.0489,0.0386,0.0875,0.441142857,1,Intra,Helianthus annuus,0.0489,0.0875
157,544,Sporobolus airoides,sp1,six,E04,Monoculture,7/27/2016,1,0.0301,0.0578,0.0879,0.657565415,2,Intra,Sporobolus airoides,0.0455,0.1033
283,271,Pascopyrum smithii,none,three,G11,Control,8/10/2016,1,0.0617,0.028,0.0897,0.312151616,1,Con,None,,
