,No.,Block_No,Focal_species,Species_code,Population_code,Treatment,Comp_trt,Competitor,Time_in_Exp,initial_nonfocal_leaf_count,initial_focal_leaf_count,nonfocal_root_length,nonfocal_shoot_height,nonfocal_root_mass,nonfocal_shoot_mass,focal_root_length,focal_shoot_height,focal_root_mass,focal_shoot_mass,Trt,focal_species,Type,nonfocal_leaf_count,focal_leaf_count,Nonfocal_species,focal_full_mass,nonfocal_full_mass,focal_rmf,nonfocal_rmf,rmf_diff,shoot_height_diff,root_length_diff,leaf_count_diff,pot_mass,abs_rmf_diff,abs_root_length_diff,abs_shoot_height_diff,final_leaf_diff,abs_final_leaf_diff,initial_leaf_diff,abs_initial_leaf_diff
1,4,1,Dieteria canescens,DICA,DICA-A,Interspecific_competition,Interspecific - HEVI-A,HEVI-A,43,3,4,5.14781507,2.740840024,4.308110952,5.415717866,4.415880433,1.974081026,5.10881591,9.710818709,MACA-A Interspecific_competition HEVI-A,Heterotheca villosa,Interspecific mixture,NA,NA,NA,3.849627855,3.11830544,0.216777409,0.716973849,-0.500196441,-8.3,-7,NA,224.03,0.500196441,7,8.3,NA,NA,1,1
2,6,1,Dieteria canescens,DICA,DICA-A,Interspecific_competition,Interspecific - HEVI-B,HEVI-B,42,6,4,5.744562647,2.302585093,4.430816799,14.82565344,2.738612788,1.029619417,3.224903099,3.728270376,MACA-A Interspecific_competition HEVI-B,Heterotheca villosa,Interspecific mixture,NA,NA,NA,2.636887081,4.388219484,0.427983539,0.276497696,0.151485843,-7.2,-25.5,NA,328.1,0.151485843,25.5,7.2,NA,NA,-2,2
3,7,1,Dieteria canescens,DICA,DICA-A,Intraspecific_competition,Intraspecific - MACA-A,DICA-A,43,5,4,4.147288271,2.079441542,2.809402695,8.031189202,4.711687596,1.871802177,5.272570531,10.22252415,MACA-A Intraspecific_competition MACA-A,Dieteria canescens,Monoculture,NA,NA,NA,3.936380912,3.292505413,0.210128496,0.204685573,0.005442922,-1.5,5,NA,213.4,0.005442922,5,1.5,NA,NA,-1,1
4,9,1,Dieteria canescens,DICA,DICA-A,Intraspecific_competition,Intraspecific - DICA-C,DICA-C,41,7,5,5.744562647,2.014903021,4.316153891,13.93556601,3.464101615,2.014903021,4.312771731,7.092249291,MACA-A Intraspecific_competition MACA-C,Dieteria canescens,Intraspecific mixture,NA,NA,NA,3.37713207,4.272203167,0.269956459,0.278335191,-0.008378733,0,-21,NA,338,0.008378733,21,0,NA,NA,-2,2
5,13,1,Dieteria canescens,DICA,DICA-B,Interspecific_competition,Interspecific - HEVI-B,HEVI-B,42,6,6,5.319774431,2.833213344,4.154184563,12.99230542,4.69041576,1.704748092,4.939635614,7.899367063,MACA-B Interspecific_competition HEVI-B,Heterotheca villosa,Interspecific mixture,NA,NA,NA,3.583155408,4.140832039,0.281105991,0.273978495,0.007127496,-11.5,-6.3,NA,319.3,0.007127496,6.3,11.5,NA,NA,0,0
6,14,1,Dieteria canescens,DICA,DICA-B,Intraspecific_competition,Intraspecific - MACA-A,DICA-A,40,6,6,5.291502622,2.397895273,3.384390263,11.33578405,5.14781507,2.442347035,5.176871642,11.93733639,MACA-B Intraspecific_competition MACA-A,Dieteria canescens,Intraspecific mixture,NA,NA,NA,4.1369322,3.836687935,0.158298878,0.186708861,-0.028409983,0.5,-1.5,NA,327.3,0.028409983,1.5,0.5,NA,NA,0,0
7,15,1,Dieteria canescens,DICA,DICA-B,Intraspecific_competition,Intraspecific - MACA-B,DICA-B,43,4,5,5.385164807,2.351375257,4.107589789,12.66885946,3.741657387,2.397895273,2.34520788,4.049691346,MACA-B Intraspecific_competition MACA-B,Dieteria canescens,Monoculture,NA,NA,NA,2.528813798,4.095906401,0.251141553,0.274740172,-0.023598619,0.5,-15,NA,243.2,0.023598619,15,0.5,NA,NA,1,1
8,17,1,Dieteria canescens,DICA,DICA-B,Monoculture,Monoculture - MACA-B,DICA-B,40,NA,NA,4.582575695,2.079441542,2.370243741,7.334848328,4.062019202,2.302585093,2.93257566,6.268971207,MACA-B Monoculture MACA-B,Dieteria canescens,Monoculture,NA,NA,NA,3.03340516,3.115299676,0.17954071,0.165891473,0.013649237,2,-4.5,NA,112.4,0.013649237,4.5,2,NA,NA,NA,NA
9,18,1,Dieteria canescens,DICA,DICA-C,Interspecific_competition,Interspecific - HEVI-A,HEVI-A,40,6,3,5.522680509,2.48490665,3.391147046,10.46422477,4.415880433,1.386294361,1.414213562,4.242640687,DICA-C Interspecific_competition HEVI-A,Heterotheca villosa,Interspecific mixture,NA,NA,NA,2.37841423,3.722280459,0.1,0.213362069,-0.113362069,-8,-11,NA,159.2,0.113362069,11,8,NA,NA,-3,3
10,19,1,Dieteria canescens,DICA,DICA-C,Interspecific_competition,Interspecific - HEVI-C,HEVI-C,41,5,6,4.69041576,2.564949357,3.640214282,12.57775815,4.301162634,1.609437912,4.415880433,7.328028384,DICA-C Interspecific_competition HEVI-C,Heterotheca villosa,Interspecific mixture,NA,NA,NA,3.426938695,4.027154384,0.266393443,0.194090678,0.072302765,-8,-3.5,NA,269.5,0.072302765,3.5,8,NA,NA,1,1
11,20,1,Dieteria canescens,DICA,DICA-C,Interspecific_competition,Interspecific - HEVI-B,HEVI-B,40,6,4,5.656854249,2.302585093,2.360854001,6.449806199,4.847679857,2.079441542,4.604345773,7.867655305,DICA-C Interspecific_competition HEVI-B,Heterotheca villosa,Interspecific mixture,NA,NA,NA,3.531572041,2.968275627,0.25511432,0.203065134,0.052049186,-2,-8.5,NA,135.3,0.052049186,8.5,2,NA,NA,-2,2
12,21,1,Dieteria canescens,DICA,DICA-C,Intraspecific_competition,Intraspecific - MACA-A,DICA-A,41,7,5,5.787918451,2.63905733,4.463606622,12.97304899,5.54977477,1.704748092,4,8.185352772,DICA-C Intraspecific_competition MACA-A,Dieteria canescens,Intraspecific mixture,NA,NA,NA,3.490752465,4.175722166,0.192771084,0.340258722,-0.147487638,-8.5,-2.7,NA,338.1,0.147487638,2.7,8.5,NA,NA,-2,2
13,22,1,Dieteria canescens,DICA,DICA-C,Intraspecific_competition,Intraspecific - MACA-B,DICA-B,41,4,6,4.415880433,2.251291799,3.713572067,8.933084574,3.605551275,2.740840024,4,11.11755369,DICA-C Intraspecific_competition MACA-B,Dieteria canescens,Intraspecific mixture,14,33,NA,3.888129845,3.556213807,0.114613181,0.339403974,-0.224790793,6,-6.5,19,260.4,0.224790793,6.5,6,19,19,2,2
14,23,1,Dieteria canescens,DICA,DICA-C,Intraspecific_competition,Intraspecific - DICA-C,DICA-C,41,9,6,5.099019514,2.197224577,2.493205453,7.943550843,4.472135955,2.014903021,2.50998008,6.379655163,DICA-C Intraspecific_competition MACA-C,Dieteria canescens,Monoculture,16,9,NA,2.981549135,3.230596895,0.134042553,0.160904255,-0.026861702,-1.5,-6,-7,122.2,0.026861702,6,1.5,-7,7,-3,3
15,24,1,Dieteria canescens,DICA,DICA-C,Monoculture,Monoculture - DICA-C,DICA-C,41,NA,NA,5,2.442347035,3.678829118,9.300537619,4.582575695,2.351375257,6.066300355,8.983317873,DICA-C Monoculture MACA-C,Dieteria canescens,Monoculture,18,14,NA,3.879383743,3.60268882,0.313191489,0.314036479,-0.00084499,-1,-4,-4,243.6,0.00084499,4,1,-4,4,NA,NA
16,31,1,Dieteria canescens,DICA,DICA-A,Interspecific_competition,Interspecific - HEVI-A,HEVI-A,43,6,4,4.582575695,2.079441542,3.686376324,12.33693641,4.460941605,1.704748092,4.582575695,7.252585746,MACA-A Interspecific_competition HEVI-A,Heterotheca villosa,Interspecific mixture,17,10,NA,3.440226946,4.002913031,0.285326087,0.207704321,0.077621766,-2.5,-1.1,-7,265.7,0.077621766,1.1,2.5,-7,7,-2,2
17,33,2,Dieteria canescens,DICA,DICA-A,Interspecific_competition,Interspecific - HEVI-B,HEVI-B,42,4,4,4.898979486,2.219203484,3.374168709,10.19313494,5.14781507,1.791759469,4.404543109,7.589466384,MACA-A Interspecific_competition HEVI-B,Heterotheca villosa,Interspecific mixture,12,10,NA,3.463236852,3.683382094,0.251948052,0.219383922,0.03256413,-3.2,2.5,-2,210.1,0.03256413,2.5,3.2,-2,2,0,0
18,34,2,Dieteria canescens,DICA,DICA-A,Intraspecific_competition,Intraspecific - MACA-A,DICA-A,43,5,5,5.830951895,2.251291799,4.074141855,15.34926708,4.393176527,2.014903021,3.924283374,7.204165462,MACA-A Intraspecific_competition MACA-A,Dieteria canescens,Monoculture,8,16,NA,3.335932978,4.407199671,0.228826152,0.199728261,0.029097891,-2,-14.7,8,361.7,0.029097891,14.7,2,8,8,0,0
19,35,2,Dieteria canescens,DICA,DICA-A,Intraspecific_competition,Intraspecific - MACA-B,DICA-B,44,5,8,6,1.945910149,4.180522258,14.2968528,5.787918451,2.833213344,5.00999002,11.65332571,MACA-A Intraspecific_competition MACA-B,Dieteria canescens,Intraspecific mixture,23,18,NA,4.082072479,4.298531733,0.155997514,0.242401779,-0.086404265,10,-2.5,-5,430.7,0.086404265,2.5,10,-5,5,3,3
20,36,2,Dieteria canescens,DICA,DICA-A,Intraspecific_competition,Intraspecific - DICA-C,DICA-C,41,6,7,5.291502622,2.079441542,2.694627181,8.324662155,5.477225575,2.197224577,2.792848009,8.648699324,MACA-A Intraspecific_competition MACA-C,Dieteria canescens,Intraspecific mixture,14,12,NA,3.382535637,3.319531493,0.094430993,0.175980975,-0.081549982,1,2,-2,166.7,0.081549982,2,1,-2,2,1,1
21,38,2,Dieteria canescens,DICA,DICA-B,Interspecific_competition,Interspecific - HEVI-A,HEVI-A,42,6,4,4.358898944,2.862200881,3.18221184,10.0448992,4.358898944,1.871802177,4.024922359,7.03562364,MACA-B Interspecific_competition HEVI-A,Heterotheca villosa,Interspecific mixture,16,9,NA,3.325739918,3.636909546,0.246575342,0.1928,0.053775342,-11,0,-7,190.7,0.053775342,0,11,-7,7,-2,2
22,39,2,Dieteria canescens,DICA,DICA-B,Interspecific_competition,Interspecific - HEVI-C,HEVI-C,43,4,7,3.449637662,2.509599262,1.435084525,6.14817046,4.679743583,1.871802177,5.848076607,7.771743691,MACA-B Interspecific_competition HEVI-C,Heterotheca villosa,Interspecific mixture,11,13,NA,3.690504071,2.753771048,0.361522199,0.1,0.261522199,-5.8,10,2,136.6,0.261522199,10,5.8,2,2,3,3
23,40,2,Dieteria canescens,DICA,DICA-B,Interspecific_competition,Interspecific - HEVI-B,HEVI-B,42,6,5,5.61248608,2.302585093,4.229749199,10.87198234,2.34520788,2.995732274,6.131883887,7.127411872,MACA-B Interspecific_competition HEVI-B,Heterotheca villosa,Interspecific mixture,NA,NA,NA,3.641331591,3.886094638,0.425339367,0.367576244,0.057763123,10,-26,NA,275.3,0.057763123,26,10,NA,NA,-1,1
24,41,2,Dieteria canescens,DICA,DICA-B,Intraspecific_competition,Intraspecific - MACA-A,DICA-A,40,7,6,4.69041576,2.48490665,2.660259537,10.01998004,4.358898944,2.140066163,3.949683532,8.467585252,MACA-B Intraspecific_competition MACA-A,Dieteria canescens,Intraspecific mixture,15,12,NA,3.523814522,3.560932403,0.178694158,0.12467306,0.054021098,-3.5,-3,-3,202,0.054021098,3,3.5,-3,3,-1,1
25,43,2,Dieteria canescens,DICA,DICA-B,Intraspecific_competition,Intraspecific - DICA-C,DICA-C,41,5,4,3.741657387,2.397895273,1.504077397,5.991660872,3.464101615,2.197224577,2.846049894,8.882567196,MACA-B Intraspecific_competition MACA-C,Dieteria canescens,Intraspecific mixture,12,15,NA,3.424706862,2.737834595,0.093103448,0.111386139,-0.01828269,-2,-2,3,127.4,0.01828269,2,2,3,3,-1,1
26,44,2,Dieteria canescens,DICA,DICA-B,Monoculture,Monoculture - MACA-B,DICA-B,43,NA,NA,4.449719092,2.602689685,3.068052935,10.22252415,4.538722287,2.251291799,5.796550698,11.63185282,MACA-B Monoculture MACA-B,Dieteria canescens,Monoculture,16,16,NA,4.174733946,3.645624375,0.198934281,0.170634921,0.02829936,-4,0.8,0,294.9,0.02829936,0.8,4,0,0,NA,NA
27,45,2,Dieteria canescens,DICA,DICA-C,Interspecific_competition,Interspecific - HEVI-A,HEVI-A,40,6,7,6.633249581,2.197224577,2.694627181,9.628083922,4.898979486,1.791759469,3.193743885,6.870225615,DICA-C Interspecific_competition HEVI-A,Heterotheca villosa,Interspecific mixture,12,10,NA,3.172376002,3.510371932,0.177700348,0.137674419,0.04002593,-3,-20,-2,164.9,0.04002593,20,3,-2,2,1,1
28,46,2,Dieteria canescens,DICA,DICA-C,Interspecific_competition,Interspecific - HEVI-C,HEVI-C,41,7,6,4.949747468,2.602689685,2.501435952,9.022194855,4,1.704748092,4.01248053,5.93295879,DICA-C Interspecific_competition HEVI-C,Heterotheca villosa,Interspecific mixture,NA,NA,NA,3.15363906,3.394647376,0.313840156,0.13034188,0.183498276,-8,-8.5,NA,144.9,0.183498276,8.5,8,NA,NA,-1,1
29,47,2,Dieteria canescens,DICA,DICA-C,Interspecific_competition,Interspecific - HEVI-B,HEVI-B,40,7,5,4.898979486,1.791759469,2.57261223,6.41092817,4.582575695,1.609437912,2.588435821,4.01248053,DICA-C Interspecific_competition HEVI-B,Heterotheca villosa,Interspecific mixture,11,5,NA,2.569224854,2.997255478,0.293859649,0.241697417,0.052162232,-1,-3,-6,77,0.052162232,3,1,-6,6,-2,2
30,48,2,Dieteria canescens,DICA,DICA-C,Intraspecific_competition,Intraspecific - MACA-A,DICA-A,41,4,4,4.795831523,2.564949357,3.860729711,10.58300524,5.049752469,1.704748092,5.07937004,8.300602388,DICA-C Intraspecific_competition MACA-A,Dieteria canescens,Intraspecific mixture,13,13,NA,3.657864463,3.80049141,0.272439282,0.297805643,-0.025366361,-7.5,2.5,0,254.2,0.025366361,2.5,7.5,0,0,0,0
31,49,2,Dieteria canescens,DICA,DICA-C,Intraspecific_competition,Intraspecific - MACA-B,DICA-B,41,6,5,4.582575695,3.277144733,3.363841595,13.61249426,4.358898944,2.667228207,5.039841267,10.07472084,DICA-C Intraspecific_competition MACA-B,Dieteria canescens,Intraspecific mixture,17,13,NA,3.887745119,4.120234927,0.200157604,0.134920635,0.065236969,-12.1,-2,-4,341.1,0.065236969,2,12.1,-4,4,-1,1
32,50,2,Dieteria canescens,DICA,DICA-C,Intraspecific_competition,Intraspecific - DICA-C,DICA-C,41,2,3,2.645751311,1.704748092,1.686398954,4.615192304,1.870828693,1.098612289,1,2.683281573,DICA-C Intraspecific_competition MACA-C,Dieteria canescens,Monoculture,NA,NA,NA,1.919187738,2.510297046,0.12195122,0.202247191,-0.080295971,-2.5,-3.5,NA,34.9,0.080295971,3.5,2.5,NA,NA,1,1
33,51,2,Dieteria canescens,DICA,DICA-C,Monoculture,Monoculture - DICA-C,DICA-C,41,7,7,4.472135955,2.442347035,3.202746443,9.316651759,4.242640687,2.197224577,3.962322551,8.402380615,DICA-C Monoculture MACA-C,Dieteria canescens,Monoculture,12,17,NA,3.516347987,3.538276162,0.181923523,0.220825853,-0.03890233,-2.5,-2,5,197.7,0.03890233,2,2.5,5,5,0,0
34,58,2,Dieteria canescens,DICA,DICA-A,Interspecific_competition,Interspecific - HEVI-A,HEVI-A,43,5,5,4.472135955,2.302585093,3.08190997,11.97914855,4.795831523,2.140066163,4.460941605,8.579044236,MACA-A Interspecific_competition HEVI-A,Heterotheca villosa,Interspecific mixture,13,12,NA,3.611092056,3.880857962,0.212834225,0.131881428,0.080952797,-1.5,3,-1,258.8,0.080952797,3,1.5,-1,1,0,0
35,59,2,Dieteria canescens,DICA,DICA-A,Interspecific_competition,Interspecific - HEVI-C,HEVI-C,43,NA,NA,5.394441584,2.821378886,3.671224519,14.03210604,4.347413024,1.704748092,4.847679857,6.892024376,MACA-A Interspecific_competition HEVI-C,Heterotheca villosa,Interspecific mixture,12,11,NA,3.426325179,4.207532598,0.330985915,0.16638442,0.164601496,-11.3,-10.2,-1,307.2,0.164601496,10.2,11.3,-1,1,NA,NA
36,60,2,Dieteria canescens,DICA,DICA-A,Interspecific_competition,Interspecific - HEVI-B,HEVI-B,42,4,6,6.708203932,2.140066163,3.975936331,12.78671185,3.937003937,1.252762968,2,3.255764119,MACA-A Interspecific_competition HEVI-B,Heterotheca villosa,Interspecific mixture,15,13,NA,2.292545336,4.094221316,0.273972603,0.245848708,0.028123894,-5,-29.5,-2,231.4,0.028123894,29.5,5,-2,2,2,2
37,61,2,Dieteria canescens,DICA,DICA-A,Intraspecific_competition,Intraspecific - MACA-A,DICA-A,43,4,4,2.549509757,1.871802177,0.262364264,4.438468204,4.898979486,2.525728644,8.426149773,16.51363073,MACA-A Intraspecific_competition MACA-A,Dieteria canescens,Monoculture,6,15,NA,4.99397442,2.168140325,0.206575502,0.061904762,0.14467074,6,17.5,9,364.7,0.14467074,17.5,6,9,9,0,0
38,63,2,Dieteria canescens,DICA,DICA-A,Intraspecific_competition,Intraspecific - DICA-C,DICA-C,41,6,4,6.204836823,2.140066163,3.555348061,9.638464608,5.61248608,2.48490665,4.171330723,9.68504001,MACA-A Intraspecific_competition MACA-C,Dieteria canescens,Intraspecific mixture,13,12,NA,3.722414637,3.632328822,0.15647482,0.27365129,-0.11717647,3.5,-7,-1,239.1,0.11717647,7,3.5,-1,1,-2,2
39,64,2,Dieteria canescens,DICA,DICA-A,Monoculture,Monoculture - MACA-A,DICA-A,43,NA,NA,6.752777206,1.871802177,4.24563401,10.42592922,5.244044241,1.824549292,9.823441352,10.93617849,MACA-A Monoculture MACA-A,Dieteria canescens,Monoculture,14,13,NA,4.556272582,3.830347664,0.446552522,0.391036415,0.055516107,-0.3,-18.1,-1,394.6,0.055516107,18.1,0.3,-1,1,NA,NA
40,65,3,Dieteria canescens,DICA,DICA-B,Interspecific_competition,Interspecific - HEVI-A,HEVI-A,42,8,6,4.795831523,2.944438979,2.990719732,12.64120247,5.291502622,1.945910149,5.449770637,7.529940239,MACA-B Interspecific_competition HEVI-A,Heterotheca villosa,Interspecific mixture,NA,NA,NA,3.602736582,3.953722576,0.34375,0.110740122,0.233009878,-12,5,NA,266.1,0.233009878,5,12,NA,NA,-2,2
41,66,3,Dieteria canescens,DICA,DICA-B,Interspecific_competition,Interspecific - HEVI-C,HEVI-C,43,3,5,5.049752469,2.442347035,3.095577609,9.19782583,4.183300133,1.704748092,4.75394573,6.058052492,MACA-B Interspecific_competition HEVI-C,Heterotheca villosa,Interspecific mixture,11,13,NA,3.28816031,3.506195009,0.381112985,0.207122774,0.173990211,-6,-8,2,166,0.173990211,8,6,2,2,2,2
42,67,3,Dieteria canescens,DICA,DICA-B,Interspecific_competition,Interspecific - HEVI-B,HEVI-B,42,4,4,5.431390246,2.708050201,3.832979798,13.37161172,4.242640687,1.704748092,4.219004622,7.328028384,MACA-B Interspecific_competition HEVI-B,Heterotheca villosa,Interspecific mixture,15,7,NA,3.398092554,4.14784179,0.248951049,0.205333333,0.043617716,-9.5,-11.5,-8,296.5,0.043617716,11.5,9.5,-8,8,0,0
43,70,3,Dieteria canescens,DICA,DICA-B,Intraspecific_competition,Intraspecific - DICA-C,DICA-C,41,6,5,6.32455532,1.386294361,1.609437912,4.527692569,5.14781507,1.945910149,6.633249581,10.93617849,MACA-B Intraspecific_competition MACA-C,Dieteria canescens,Intraspecific mixture,13,12,NA,4.19159016,2.477323249,0.268948655,0.196078431,0.072870224,3,-13.5,-1,189.1,0.072870224,13.5,3,-1,1,-1,1
44,73,3,Dieteria canescens,DICA,DICA-C,Interspecific_competition,Interspecific - HEVI-C,HEVI-C,41,5,4,4.123105626,2.197224577,2.433613355,8.074651695,4.242640687,1.504077397,4.312771731,6.220932406,DICA-C Interspecific_competition HEVI-C,Heterotheca villosa,Interspecific mixture,11,9,NA,3.245566844,3.241645423,0.32460733,0.148825065,0.175782265,-4.5,1,-2,133.9,0.175782265,1,4.5,-2,2,-1,1
45,74,3,Dieteria canescens,DICA,DICA-C,Interspecific_competition,Interspecific - HEVI-B,HEVI-B,40,7,6,6.284902545,2.525728644,3.835141961,12.50599856,4,2.014903021,4.123105626,7.307530363,DICA-C Interspecific_competition HEVI-B,Heterotheca villosa,Interspecific mixture,13,11,NA,3.380922358,4.042417658,0.241477273,0.228416379,0.013060894,-5,-23.5,-2,273.1,0.013060894,23.5,5,-2,2,-1,1
46,75,3,Dieteria canescens,DICA,DICA-C,Intraspecific_competition,Intraspecific - MACA-A,DICA-A,41,5,5,5.787918451,2.740840024,2.93385687,9.628083922,6.403124237,2.351375257,5.319774431,11.52388823,DICA-C Intraspecific_competition MACA-A,Dieteria canescens,Intraspecific mixture,16,12,NA,4.10410315,3.544282832,0.175667287,0.168609865,0.007057422,-5,7.5,-4,272.6,0.007057422,7.5,5,-4,4,0,0
47,76,3,Dieteria canescens,DICA,DICA-C,Intraspecific_competition,Intraspecific - MACA-B,DICA-B,41,6,4,5.14781507,2.564949357,2.721295428,11.44115379,3.535533906,2.302585093,3.082207001,7.416198487,DICA-C Intraspecific_competition MACA-B,Dieteria canescens,Intraspecific mixture,15,11,NA,3.240124301,3.763302966,0.147286822,0.10403833,0.043248492,-3,-14,-4,210.6,0.043248492,14,3,-4,4,-2,2
48,78,3,Dieteria canescens,DICA,DICA-C,Monoculture,Monoculture - DICA-C,DICA-C,41,NA,NA,5.787918451,2.251291799,3.234749174,6.587867637,4.358898944,2.251291799,4.669047012,7.190271205,DICA-C Monoculture MACA-C,Dieteria canescens,Monoculture,13,13,NA,3.443736084,3.134105424,0.296598639,0.369186047,-0.072587407,0,-14.5,0,142.3,0.072587407,14.5,0,0,0,NA,NA
49,85,3,Dieteria canescens,DICA,DICA-A,Interspecific_competition,Interspecific - HEVI-A,HEVI-A,43,4,4,6.480740698,2.116255515,3.985273467,12.38547536,5.029910536,1.704748092,5.48634669,8.246211251,MACA-A Interspecific_competition HEVI-A,Heterotheca villosa,Interspecific mixture,13,12,NA,3.70574661,4.046078204,0.306829766,0.25965251,0.047177256,-2.8,-16.7,-1,305.3,0.047177256,16.7,2.8,-1,1,0,0
50,86,3,Dieteria canescens,DICA,DICA-A,Interspecific_competition,Interspecific - HEVI-C,HEVI-C,43,NA,NA,4.062019202,1.871802177,2.332143895,6.655824517,4.358898944,1.871802177,4.538722287,7.028513356,MACA-A Interspecific_competition HEVI-C,Heterotheca villosa,Interspecific mixture,10,6,NA,3.401063899,2.997994065,0.294285714,0.188644689,0.105641026,0,2.5,-4,124.6,0.105641026,2.5,0,-4,4,NA,NA
51,87,3,Dieteria canescens,DICA,DICA-A,Interspecific_competition,Interspecific - HEVI-B,HEVI-B,42,4,5,5.916079783,1.945910149,2.954910279,7.861297603,4.312771731,1.609437912,5.157518783,6.862943975,MACA-A Interspecific_competition HEVI-B,Heterotheca villosa,Interspecific mixture,2,12,NA,3.467053902,3.288800371,0.360922659,0.237037037,0.123885622,-2,-16.4,10,154.7,0.123885622,16.4,2,10,10,1,1
52,88,3,Dieteria canescens,DICA,DICA-A,Intraspecific_competition,Intraspecific - MACA-A,DICA-A,43,4,6,5.873670062,1.504077397,3.499533282,6.964194139,5.522680509,2.48490665,4.527692569,9.859006035,MACA-A Intraspecific_competition MACA-A,Dieteria canescens,Monoculture,10,15,NA,3.792980175,3.234768527,0.174171623,0.405637255,-0.231465632,7.5,-4,5,199.3,0.231465632,4,7.5,5,5,2,2
53,89,3,Dieteria canescens,DICA,DICA-A,Intraspecific_competition,Intraspecific - MACA-B,DICA-B,44,6,5,4.472135955,2.48490665,2.292534757,7.341661937,5.338539126,2.397895273,6.957010852,12.81795616,MACA-A Intraspecific_competition MACA-B,Dieteria canescens,Intraspecific mixture,11,11,NA,4.446905329,3.103900239,0.227550541,0.155172414,0.072378127,-1,8.5,0,276.5,0.072378127,8.5,1,0,0,-1,1
54,90,3,Dieteria canescens,DICA,DICA-A,Intraspecific_competition,Intraspecific - DICA-C,DICA-C,41,4,6,5.567764363,2.197224577,2.58021683,9.055385138,5,2.197224577,3.391164992,7.90569415,MACA-A Intraspecific_competition MACA-C,Dieteria canescens,Intraspecific mixture,10,9,NA,3.361080056,3.411099818,0.155405405,0.138655462,0.016749943,0,-6,-1,169.2,0.016749943,6,0,-1,1,2,2
55,91,3,Dieteria canescens,DICA,DICA-A,Monoculture,Monoculture - MACA-A,DICA-A,43,NA,NA,5.157518783,2.90690106,4.000033883,15.49193338,5.949789912,2.140066163,5.375872022,10.28105053,MACA-A Monoculture MACA-A,Dieteria canescens,Monoculture,21,15,NA,3.956882934,4.414970812,0.214710253,0.185336049,0.029374204,-9.8,8.8,-6,429.2,0.029374204,8.8,9.8,-6,6,NA,NA
56,92,3,Dieteria canescens,DICA,DICA-B,Interspecific_competition,Interspecific - HEVI-A,HEVI-A,42,5,5,5,2.674148649,3.618993327,11.4061387,4.183300133,1.871802177,3.301514804,6.899275324,MACA-B Interspecific_competition HEVI-A,Heterotheca villosa,Interspecific mixture,8,12,NA,3.193867581,3.876226519,0.186324786,0.222819594,-0.036494807,-8,-7.5,4,225.9,0.036494807,7.5,8,4,4,0,0
57,95,3,Dieteria canescens,DICA,DICA-B,Intraspecific_competition,Intraspecific - MACA-A,DICA-A,40,7,5,3.674234614,2.079441542,2.734367509,8.294576541,3.605551275,2.079441542,2.645751311,7.687652438,MACA-B Intraspecific_competition MACA-A,Dieteria canescens,Intraspecific mixture,15,17,NA,3.214561206,3.320985404,0.105900151,0.182897862,-0.076997711,0,-0.5,2,150.3,0.076997711,0.5,0,2,2,-2,2
58,96,3,Dieteria canescens,DICA,DICA-B,Intraspecific_competition,Intraspecific - MACA-B,DICA-B,43,5,5,5.069516742,2.397895273,2.785011242,9.721111048,4.898979486,1.704748092,3.420526275,7.063993205,MACA-B Intraspecific_competition MACA-B,Dieteria canescens,Monoculture,18,13,NA,3.237980772,3.536399622,0.189935065,0.146341463,0.043593602,-5.5,-1.7,-5,172.3,0.043593602,1.7,5.5,-5,5,0,0
59,97,4,Dieteria canescens,DICA,DICA-B,Intraspecific_competition,Intraspecific - DICA-C,DICA-C,41,6,6,5,1.791759469,2.939161922,9.803060747,5.196152423,2.48490665,5.329165038,12.39354671,MACA-B Intraspecific_competition MACA-C,Dieteria canescens,Intraspecific mixture,22,18,NA,4.209835121,3.569625004,0.156043956,0.164347826,-0.00830387,6,2,-4,297,0.00830387,2,6,-4,4,0,0
60,98,4,Dieteria canescens,DICA,DICA-B,Monoculture,Monoculture - MACA-B,DICA-B,42,NA,NA,6,2.208274414,3.077312261,10.9270307,4.74341649,1.871802177,3.420526275,6.156297589,MACA-B Monoculture MACA-B,Dieteria canescens,Monoculture,18,13,NA,3.094644384,3.742237695,0.235887097,0.153791637,0.08209546,-2.6,-13.5,-5,190.7,0.08209546,13.5,2.6,-5,5,NA,NA
61,99,4,Dieteria canescens,DICA,DICA-C,Interspecific_competition,Interspecific - HEVI-A,HEVI-A,42,6,5,5.385164807,2.302585093,3.377587516,9.444575162,3.240370349,1.791759469,3.885871846,6.811754546,DICA-C Interspecific_competition HEVI-A,Heterotheca villosa,Interspecific mixture,16,10,NA,3.27072261,3.580804753,0.245528455,0.247257384,-0.001728929,-4,-18.5,-6,180,0.001728929,18.5,4,-6,6,-1,1
62,100,4,Dieteria canescens,DICA,DICA-C,Interspecific_competition,Interspecific - HEVI-C,HEVI-C,43,5,6,4.636809248,2.944438979,3.346389145,12.37739876,4,1.791759469,4.50555213,7.516648189,DICA-C Interspecific_competition HEVI-C,Heterotheca villosa,Interspecific mixture,18,14,NA,3.467304475,3.965323178,0.264322917,0.156387665,0.107935251,-13,-5.5,-4,258.4,0.107935251,5.5,13,-4,4,1,1
