,No.,Block_No,Focal_species,Species_code,Population_code,Treatment,Comp_trt,Competitor,Time_in_Exp,initial_nonfocal_leaf_count,initial_focal_leaf_count,nonfocal_root_length,nonfocal_shoot_height,nonfocal_root_mass,nonfocal_shoot_mass,focal_root_length,focal_shoot_height,focal_root_mass,focal_shoot_mass,Trt,focal_species,Type,nonfocal_leaf_count,focal_leaf_count,Nonfocal_species,focal_full_mass,nonfocal_full_mass,focal_rmf,nonfocal_rmf,rmf_diff,shoot_height_diff,root_length_diff,leaf_count_diff,pot_mass,abs_rmf_diff,abs_root_length_diff,abs_shoot_height_diff,final_leaf_diff,abs_final_leaf_diff,initial_leaf_diff,abs_initial_leaf_diff
543,380,12,Dieteria canescens,DICA,DICA-C,Intraspecific_competition,Intraspecific - MACA-A,DICA-A,43,6,3,5.099019514,1.098612289,3.563882964,10.68176015,2.792848009,1.974081026,2.626785107,6.212889827,DICA-C Intraspecific_competition MACA-A,NA,Intraspecific mixture,11,12,Dieteria canescens,2.973159083,3.77434009,0.151648352,0.236278447,-0.084630095,4.2,-18.2,1,194.9,0.084630095,18.2,4.2,1,1,-3,3
544,381,12,Dieteria canescens,DICA,DICA-C,Intraspecific_competition,Intraspecific - MACA-B,DICA-B,43,4,7,3.937003937,2.302585093,2.104134154,6.752777206,4.301162634,2.862200881,7.389181281,14.63215637,DICA-C Intraspecific_competition MACA-B,NA,Intraspecific mixture,11,20,Dieteria canescens,4.69268981,2.976056344,0.203200595,0.152416357,0.050784239,7.5,3,9,322.5,0.050784239,3,7.5,9,9,3,3
545,387,13,Dieteria canescens,DICA,DICA-A,Interspecific_competition,Interspecific - HEVI-A,HEVI-A,46,6,5,4.266145802,1.945910149,2.766319109,10.73778376,5.576737397,2.302585093,6.260990337,10.50238068,MACA-A Interspecific_competition HEVI-A,NA,Interspecific mixture,18,13,Heterotheca villosa,4.09430959,3.674792901,0.262207358,0.121189024,0.141018333,3,12.9,-5,280.7,0.141018333,12.9,3,-5,5,-1,1
546,388,13,Dieteria canescens,DICA,DICA-A,Interspecific_competition,Interspecific - HEVI-C,HEVI-C,46,3,6,5.099019514,2.442347035,4.188138442,13.09961832,4.949747468,2.351375257,6.833739825,11.63185282,MACA-A Interspecific_competition HEVI-C,NA,Interspecific mixture,10,16,Heterotheca villosa,4.297160998,4.157854826,0.256593407,0.277473684,-0.020880278,-1,-1.5,6,419.5,0.020880278,1.5,1,6,6,3,3
547,389,13,Dieteria canescens,DICA,DICA-A,Interspecific_competition,Interspecific - HEVI-B,HEVI-B,45,4,6,4.242640687,2.140066163,2.844909384,6.737952211,5.099019514,1.504077397,5.718391382,8.769264507,MACA-A Interspecific_competition HEVI-B,NA,Interspecific mixture,10,20,Heterotheca villosa,3.806265347,3.095619743,0.298357664,0.274760383,0.023597281,-4,8,10,172.2,0.023597281,8,4,10,10,2,2
548,392,13,Dieteria canescens,DICA,DICA-A,Intraspecific_competition,Intraspecific - DICA-C,DICA-C,44,5,6,4.123105626,1.945910149,2.459588842,6.316644679,4.38178046,2.079441542,6.715653356,10.01498877,MACA-A Intraspecific_competition MACA-C,NA,Intraspecific mixture,7,12,Dieteria canescens,4.090310761,2.962470847,0.310178817,0.226744186,0.083434631,1,2.2,5,197,0.083434631,2.2,1,5,5,1,1
549,394,13,Dieteria canescens,DICA,DICA-B,Interspecific_competition,Interspecific - HEVI-A,HEVI-A,43,3,5,5.14781507,2.282382386,2.747270914,7.314369419,3.391164992,1.098612289,1.760681686,3.728270376,MACA-B Interspecific_competition HEVI-A,NA,Interspecific mixture,11,4,Heterotheca villosa,2.342851268,3.17200888,0.182352941,0.225759768,-0.043406827,-6.8,-15,-7,86.1,0.043406827,15,6.8,-7,7,2,2
550,395,13,Dieteria canescens,DICA,DICA-B,Interspecific_competition,Interspecific - HEVI-C,HEVI-C,43,5,6,3.741657387,1.098612289,3.33220451,6.68580586,5.244044241,2.740840024,4.277849927,9.731392501,MACA-B Interspecific_competition HEVI-C,NA,Interspecific mixture,8,29,Heterotheca villosa,3.742892254,3.165124069,0.161946903,0.385144429,-0.223197527,12.5,13.5,21,185.7,0.223197527,13.5,12.5,21,21,1,1
551,396,13,Dieteria canescens,DICA,DICA-B,Interspecific_competition,Interspecific - HEVI-B,HEVI-B,45,6,4,3.949683532,0.916290732,2.459588842,4.110960958,5.338539126,2.721295428,5.522680509,10.44030651,MACA-B Interspecific_competition HEVI-B,NA,Interspecific mixture,10,12,Heterotheca villosa,3.995370698,2.56330837,0.218637993,0.409090909,-0.190452916,12.7,12.9,2,168.1,0.190452916,12.9,12.7,2,2,-2,2
552,397,13,Dieteria canescens,DICA,DICA-B,Intraspecific_competition,Intraspecific - MACA-A,DICA-A,43,6,6,4.415880433,2.014903021,4.15575319,8.905054744,4.898979486,2.442347035,5.495452666,8.729261137,MACA-B Intraspecific_competition MACA-A,NA,Intraspecific mixture,12,14,Dieteria canescens,3.771566492,3.613973981,0.283834586,0.445842068,-0.162007482,4,4.5,2,249.5,0.162007482,4.5,4,2,2,0,0
